sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
//S1AA1_0 (AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1)
,Analog input AI0+,INT,,="1.0",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7500,c70dc232-c36c-4d00-919b-62b62cdf01af,
iA_VoltageDivider,Analog input AI1+,INT,-A1_0:1.1 I1+ : =S1+A-A10 Voltage Divider,="1.1",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7501,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Analog input AI2+,INT,,="1.2",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7502,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Analog input AI3+,INT,,="1.3",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7503,c70dc232-c36c-4d00-919b-62b62cdf01af,
,Digital inputs DI0 - DI7,BYTE,,,S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000,c70dc232-c36c-4d00-919b-62b62cdf01af,
iProject_RT1436,Digital input DI0,BOOL,-A1_0:2.0 DI0 :   Crane Number Identification,="2.0",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_DI0,c70dc232-c36c-4d00-919b-62b62cdf01af,
iProject_RT1437,Digital input DI1,BOOL,-A1_0:2.1 DI1 :   Crane Number Identification,="2.1",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_DI1,c70dc232-c36c-4d00-919b-62b62cdf01af,
iProject3,Digital input DI2,BOOL,-A1_0:2.2 DI2 :   Crane Number Identification,="2.2",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_DI2,c70dc232-c36c-4d00-919b-62b62cdf01af,
iProject4,Digital input DI3,BOOL,-A1_0:2.3 DI3 :   Crane Number Identification,="2.3",S1AA1_0,CI501-IO (V3),AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Digital_Input_DI3,c70dc232-c36c-4d00-919b-62b62cdf01af,
